Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
HSY,The Hershey Company,Consumer Staples,105.59,2.34,27.97,3.78,4.19,86.64,117.79,22.41,1.76,3.02,25.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSY
MOS,The Mosaic Company,Materials,31.45,3.51,25.06,1.25,28.09,22.20,33.99,11.01,1.27,1.49,1.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MOS
TRV,The Travelers Companies Inc.,Financials,117.63,2.28,11.44,10.28,83.05,103.07,123.09,32.89,5.24,1.18,1.40,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRV
DIS,The Walt Disney Company,Consumer Discretionary,110.61,1.41,19.30,5.73,27.09,86.25,111.99,176.03,16.99,3.18,4.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIS
TMO,Thermo Fisher Scientific,Health Care,151.67,0.39,30.32,5.00,54.83,119.75,160.68,59.91,4.37,3.36,2.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMO
TIF,Tiffany & Co.,Consumer Discretionary,78.18,2.29,21.89,3.57,23.37,56.99,85.44,9.73,0.9348,2.44,3.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TIF
TWX,Time Warner Inc.,Consumer Discretionary,95.63,1.66,17.01,5.62,31.45,55.53,97.35,73.74,8.17,2.62,3.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TWX
TJX,TJX Companies Inc.,Consumer Discretionary,74.93,1.39,21.95,3.41,6.64,66.82,83.64,48.85,4.48,1.49,11.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TJX
TMK,Torchmark Corp.,Financials,73.66,0.76,16.61,4.43,42.78,48.47,75.24,8.74,0.86276,2.24,1.72,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMK
TSS,Total System Services,Information Technology,51.00,0.79,29.48,1.73,11.43,37.47,56.54,9.37,0.9751000000000001,2.22,4.40,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSS
TSCO,Tractor Supply Company,Consumer Discretionary,73.71,1.30,23.39,3.15,11.06,61.50,97.25,9.67,0.80887,1.46,6.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSCO
TDG,TransDigm Group,Industrials,221.77,0.00,21.35,10.39,-12.22,180.76,294.38,11.83,1.45,3.70,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDG
RIG,Transocean,Energy,13.74,0.00,4.34,3.16,41.27,7.66,16.66,5.02,1.77,1.18,0.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RIG
TRIP,TripAdvisor,Consumer Discretionary,52.06,,62.57,0.83,10.85,45.63,71.69,7.59,0.182,5.13,4.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRIP
FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,31.46,1.15,20.79,1.51,7.44,22.66,31.75,58.37,6.69,2.11,4.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOXA
FOX,Twenty-First Century Fox Class B,Consumer Discretionary,31.16,1.16,20.59,1.51,7.44,22.65,31.30,57.81,6.69,2.09,4.20,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOX
TSN,Tyson Foods,Consumer Staples,65.18,1.43,14.39,4.53,25.69,55.72,77.05,24.38,3.57,0.65,2.50,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSN
